"id";"user_id";"reviewer_id";"title";"category";"aircraft_model";"registration_number";"拍摄时间";"拍摄地点";"filename";"approved";"rejection_reason";"admin_comment";"created_at";"views";"likes";"allow_use";"watermark_size";"watermark_opacity";"watermark_position";"actual_watermark_size";"is_featured";"original_width";"original_height";"final_width";"final_height";"shooting_time";"shooting_location";"Cam";"Lens";"FocalLength";"ISO";"F";"Shutter"
1845;424;424;"马航";"马来西亚航空";"a330";"9mmnj";"2026-01-07 21:22:00";"dps";"695e6c3642f29_0f7898ef9e1e80c8c58ac7abfdfed013.jpeg";1;"";"";"2026-01-07 21:22:46";20;1;1;15;80;"top-left";0;0;6176;3474;6176;3474;"2026-01-07 14:22:46";"";"";"";0;0;0.0;""
1846;424;424;"马航彩绘";"malaysiaairlnes";"airbus a330-300";"9m-mtj";"2026-01-08 17:39:00";"雅加达苏加诺哈达国际机场";"695f7b6d38568_IMG_9840.jpg";1;"";"";"2026-01-08 16:39:58";16;1;1;15;80;"top-left";0;1;6333;3562;3649;2052;"2026-01-08 09:39:58";"";"";"";0;0;0.0;""
1847;424;424;"国泰330";"Cathay pacific";"a330";"b-laz";"2026-01-03 10:40:00";"登巴萨";"696078b7cb9cb_MIMG_0234.jpg";1;"";"";"2026-01-09 10:40:40";1;0;1;15;80;"top-left";0;0;6638;3734;6638;3734;"2026-01-09 03:40:40";"";"";"";0;0;0.0;""
1848;424;424;"比我还大的飞机";"nam air";"737-500";"pk-nat";"2026-01-03 10:41:00";"登巴萨";"6960790b97fde_MIMG_0364.jpg";1;"";"";"2026-01-09 10:42:03";5;1;1;15;80;"top-left";0;0;5958;3351;5958;3351;"2026-01-09 03:42:03";"";"";"";0;0;0.0;""
1849;424;424;"SJ182同款飞机";"三佛齐航空";"737-500";"pkclh";"2026-01-03 10:43:00";"登巴萨";"6960797962d31_MIMG_9976.jpg";1;"";"";"2026-01-09 10:43:53";4;0;1;15;80;"top-left";0;0;5830;3279;5830;3279;"2026-01-09 03:43:53";"";"";"";0;0;0.0;""
1850;424;424;"首拍380";"emirates";"a380";"a6-eva";"2026-01-03 10:45:00";"登巴萨";"696079d39fd6c_MIMG_0457.jpg";1;"";"";"2026-01-09 10:45:23";5;0;1;15;80;"top-left";0;0;6097;3430;6097;3430;"2026-01-09 03:45:23";"";"";"";0;0;0.0;""
1851;424;424;"酷";"scoot";"A320neo";"9v-tnh";"2026-01-03 10:45:00";"登巴萨";"69607a05db258_MIMG_0380.jpg";2;"噪点爆炸";"";"2026-01-09 10:46:14";2;0;1;15;80;"top-left";0;0;6776;3811;6776;3811;"2026-01-09 03:46:14";"";"";"";0;0;0.0;""
1852;424;424;"sky team";"中国东方航空";"A321-214";"b1837";"2026-01-09 10:47:00";"沈阳桃仙国际机场 ZYTX";"69607a7268ef1_IMG_7080-2.jpg";2;"天太假了";"";"2026-01-09 10:48:03";1;0;1;15;80;"top-left";0;0;6960;4640;6960;4640;"2026-01-09 03:48:03";"";"";"";0;0;0.0;""
1854;424;424;"our super 50th jet";"super air jet";"A320-214";"pk-stq";"2026-01-09 14:09:00";"WIII";"6960a9dd3e56b_IMG_4252.jpg";1;"";"";"2026-01-09 14:10:22";4;0;1;15;80;"top-left";0;1;5419;3613;3725;2484;"2026-01-09 07:10:22";"";"";"";0;0;0.0;""
1855;424;424;"好多鸟";"malaysiaairlnes";"B737-800";"9M-MXY";"2026-01-03 16:01:00";"登巴萨";"6960b5df21110_MIMG_0305.jpg";1;"";"";"2026-01-09 15:01:36";11;1;1;15;80;"top-left";0;0;6087;3424;4122;2319;"2026-01-09 08:01:36";"";"";"";0;0;0.0;""
1856;424;424;"宝可梦";"GARUDA INDONESIA";"airbus a330-300";"PK-GPY";"2026-01-09 16:03:00";"雅加达苏加诺哈达国际机场";"6960b68043157_IMG_8581.jpg";1;"";"";"2026-01-09 15:04:17";6;0;1;15;80;"top-left";0;0;6163;3467;3768;2120;"2026-01-09 08:04:17";"";"";"";0;0;0.0;""
1857;424;424;"GARUDA";"Garuda Indonesia";"B737-800";"PK-GFX";"2026-01-09 16:14:00";"雅加达苏加诺哈达国际机场";"6960b8df2c646_IMG_4157(1).jpg";1;"";"";"2026-01-09 15:14:24";3;0;1;15;80;"top-left";0;0;6895;3878;4407;2479;"2026-01-09 08:14:24";"";"";"";0;0;0.0;""
1858;424;424;"ANA";"ANA";"B789";"JA894A";"2026-01-09 16:16:00";"雅加达苏加诺哈达国际机场";"6960b96db74db_IMG_1816.jpg";1;"";"";"2026-01-09 15:16:46";7;1;1;15;80;"top-left";0;0;6185;3479;3652;2054;"2026-01-09 08:16:46";"";"";"";0;0;0.0;""
1859;424;424;"74周年";"GARUDA INDONESIA";"A330-300";"PK-GPZ";"2026-01-09 16:17:00";"雅加达苏加诺哈达国际机场";"6960b9a5e303f_IMG_1801.jpg";2;"色散";"";"2026-01-09 15:17:42";1;0;1;15;80;"top-left";0;0;5440;3060;3467;1950;"2026-01-09 08:17:42";"";"";"";0;0;0.0;""
1860;424;424;"雨中公务";"私人飞机";"Hawker 800XPi";"T7-727";"2026-01-09 16:18:00";"雅加达苏加诺哈达国际机场";"6960b9de40885_IMG_1069.jpg";1;"";"";"2026-01-09 15:18:39";7;0;1;15;80;"top-left";0;0;4681;2633;3727;2096;"2026-01-09 08:18:39";"";"";"";0;0;0.0;""
1861;424;426;"湿地oneworld";"japan airlines";"787-9";"JA861J";"2026-01-09 16:20:00";"雅加达苏加诺哈达国际机场";"6960ba4135341_IMG_1033.jpg";1;"";"";"2026-01-09 15:20:18";3;0;1;15;80;"top-left";0;0;6007;3379;3679;2069;"2026-01-09 08:20:18";"";"";"";0;0;0.0;""
1862;424;426;"湿地复古";"GARUDA INDONESIA";"B737-800";"PK-GFM";"2026-01-09 16:20:00";"雅加达苏加诺哈达国际机场";"6960ba69caeb6_IMG_1009.jpg";1;"";"";"2026-01-09 15:20:58";3;0;1;15;80;"top-left";0;0;5198;2924;4335;2439;"2026-01-09 08:20:58";"";"";"";0;0;0.0;""
